[18:29:01][INFO](lu.pcy113.pdr.client.ClientMain#main@22) Starting
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#setUniform@58) <- lu.pcy113.pdr.engine.graph.shader.Material#bind@36
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#setUniform@70) <- lu.pcy113.pdr.engine.scene.geom.Model#bind@32
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#setUniform@70) <- lu.pcy113.pdr.engine.graph.renderer.ModelRenderer#render@28
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.renderer.ModelRenderer#render@31) Mesh: 3 > V36
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.renderer.ModelRenderer#render@35) Uniforms: {t=2, projectionMatrix=1, modelMatrix=0, txtSampler=3}
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#unbind@58) <- lu.pcy113.pdr.engine.graph.renderer.ModelRenderer#render@41
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.renderer.Renderer#render@29) <- lu.pcy113.pdr.engine.graph.renderer.ModelInstanceRenderer#render@18
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.renderer.ModelInstanceRenderer#render@20) ModelInstance: cube-instance > Me1 & C100
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.renderer.ModelInstanceRenderer#render@22) Material: null > Sh4
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#bind@50) <- lu.pcy113.pdr.engine.graph.shader.Material#bind@32
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#setUniform@70) <- lu.pcy113.pdr.engine.graph.renderer.ModelInstanceRenderer#render@26
