[18:35:54][INFO](lu.pcy113.pdr.client.ClientMain#main@22) Starting
[18:35:55][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#createUniform@26) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createUniforms@42
[18:35:55][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#createUniform@26) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createUniforms@42
[18:35:55][FINEST](lu.pcy113.pdr.client.game.PDRClientGame#init@39) <- lu.pcy113.pdr.engine.GameEngine#<init>@65
[18:35:55][FINEST](lu.pcy113.pdr.engine.scene.geom.Mesh#<init>@24) <- lu.pcy113.pdr.client.game.PDRClientGame#init@137
[18:35:55][FINEST](lu.pcy113.pdr.engine.graph.shader.TextureCache#createTexture@26) <- lu.pcy113.pdr.client.game.PDRClientGame#init@139
[18:35:55][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#<init>@22) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#create@118
[18:35:55][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createShader@95) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#lambda$0@30
[18:35:55][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createShader@95) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#lambda$0@30
[18:35:55][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#link@74) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#<init>@32
[18:35:55][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#<init>@19) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#<init>@34
[18:35:55][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#createUniform@26) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createUniforms@42
[18:35:55][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#createUniform@26) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createUniforms@42
[18:35:55][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#createUniform@26) <- lu.pcy113.pdr.engine.graph.shader.Material#createUniforms@26
[18:35:55][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#createUniform@26) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createUniforms@42
[18:35:55][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#createUniform@26) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createUniforms@42
[18:35:55][FINEST](lu.pcy113.pdr.engine.scene.geom.Mesh#<init>@24) <- lu.pcy113.pdr.engine.utils.ObjLoader#loadMesh@90
[18:35:55][FINEST](lu.pcy113.pdr.engine.scene.geom.Mesh#<init>@24) <- lu.pcy113.pdr.engine.scene.geom.MeshInstance#<init>@16
